path,url,title,date,type_guess,weight_28d,clicks_28d,impressions_28d,avg_pos_28d,ctr_28d,clicks_7d,impressions_7d,avg_pos_7d,ctr_7d
/tc/insights/hong-kong-workplace-burnout-companionship-eap-refresh,https://refresh.bokss.org.hk/tc/insights/hong-kong-workplace-burnout-companionship-eap-refresh,【Re:Fresh Plus專屬內容】深度專欄 | 職場倦怠怎麼辦？用「陪伴力」重建心理資本,2026-02-10,Re:Fresh Plus 深度專欄,7.301,2,19,1.79,0.105263,0,0,0.0,0.0
/tc/insights/failure_schema,https://refresh.bokss.org.hk/tc/insights/failure_schema,人際關係 個人成長 挫折其實有根可尋！ 失敗背後的4個真相（附人生困境測試連結）,2022-12-01,標準熱話科普,6.911,4,1383,8.57,0.002892,0,437,8.9,0.0
/tc/insights/The-Glory-Trauma,https://refresh.bokss.org.hk/tc/insights/The-Glory-Trauma,個人成長 【與＿＿對談】與過去和好 輔導員建議5招面對創傷,2023-03-10,標準熱話科普,6.838,5,166,8.99,0.03012,0,52,11.02,0.0
/tc/insights/winsome-lee-taipo-fire-healing-trauma,https://refresh.bokss.org.hk/tc/insights/winsome-lee-taipo-fire-healing-trauma,災後一個月 前大埔街坊的心痛自白｜法醫人類學家李衍蒨：須學懂在自己的臨界點上停下,2025-12-26,標準熱話科普,6.686,5,651,7.3,0.00768,4,418,6.79,0.009569
/tc/insights/how-to-apologize,https://refresh.bokss.org.hk/tc/insights/how-to-apologize,人際關係｜激嬲人卻不明所以？ 多次Say Sorry仍未降溫？ 專家教你7個道歉步驟 有效修復關係,2024-09-27,標準熱話科普,6.635,5,614,7.9,0.008143,2,122,6.84,0.016393
/tc/insights/angermanagement,https://refresh.bokss.org.hk/tc/insights/angermanagement,怒火不能亂燒 4種情況別忽視！,2023-03-24,標準熱話科普,6.611,5,596,7.93,0.008389,1,149,6.56,0.006711
/tc/insights/kids-adults-unspoken-tantrums-emotions-refresh,https://refresh.bokss.org.hk/tc/insights/kids-adults-unspoken-tantrums-emotions-refresh,每個發脾氣的孩子與大人，心底都藏著說不出口的委屈,2026-04-02,標準熱話科普,6.509,5,509,7.11,0.009823,2,44,6.11,0.045455
/tc/insights/book-review2024,https://refresh.bokss.org.hk/tc/insights/book-review2024,休息與睡眠 人際關係 個人成長 運動與健康 工作與財務管理 社區參與 「世界閱讀日」悅讀生活 6本身心健康好書推介,2024-04-23,日子／國際日專題,6.457,5,277,8.95,0.018051,0,40,9.97,0.0
/tc/insights/primary-student-academic-stress-tips,https://refresh.bokss.org.hk/tc/insights/primary-student-academic-stress-tips,休息與睡眠 個人成長 小學生壓力爆煲？6招紓壓妙法家長必學,2025-09-04,標準熱話科普,6.427,5,309,16.22,0.016181,0,63,13.81,0.0
/tc/insights/post/sleep_001,https://refresh.bokss.org.hk/tc/insights/post/sleep_001,優眠第一步：找出你的「時型」,2022-02-28,標準熱話科普,6.418,5,380,5.51,0.013158,2,113,5.13,0.017699
/tc/insights/ManageGenZ,https://refresh.bokss.org.hk/tc/insights/ManageGenZ,職場管理︱Gen Z「整頓職場」？ 管理層7招拆彈,2025-03-20,標準熱話科普,6.415,5,367,9.29,0.013624,0,55,7.22,0.0
/tc/insights/newborn_mother,https://refresh.bokss.org.hk/tc/insights/newborn_mother,個人成長︱新手媽媽的自我關懷指南 ６式減壓提案,2025-04-16,標準熱話科普,6.415,5,344,9.88,0.014535,1,82,9.39,0.012195
/tc/insights/relationship,https://refresh.bokss.org.hk/tc/insights/relationship,人際關係 個人成長 令你陷入人際困境的3種常犯錯誤,2022-11-04,標準熱話科普,6.414,5,356,9.01,0.014045,3,151,9.21,0.019868
/tc/insights/gen-z-breakfast-mental-health-hong-kong,https://refresh.bokss.org.hk/tc/insights/gen-z-breakfast-mental-health-hong-kong,Z世代健康關注組 | 容易分心又EMO！不吃早餐還有這些後果，你中了幾多項？,2025-10-10,標準熱話科普,6.38,4,91,6.86,0.043956,1,23,10.22,0.043478
/tc/insights/hong-kong-2026-workplace-mental-health-trends-silent-wear,https://refresh.bokss.org.hk/tc/insights/hong-kong-2026-workplace-mental-health-trends-silent-wear,工作看似正常，其實已經透支！2026年必看的職場心理警號與自保七招,2026-01-19,標準熱話科普,6.251,4,1028,11.15,0.003891,1,214,15.57,0.004673
/tc/insights/workplace-psy-erwin,https://refresh.bokss.org.hk/tc/insights/workplace-psy-erwin,工作與財務管理 職場人際｜你用對方法解決衝突嗎？ 了解你的職場人格 與任何類型同事都能順利溝通！,2024-07-19,EAP／影片,6.161,2,2056,17.28,0.000973,0,623,19.25,0.0
/tc/insights/workplace-confidence-impostor-syndrome,https://refresh.bokss.org.hk/tc/insights/workplace-confidence-impostor-syndrome,工作與財務管理 【Re:Fresh Plus專屬內容】深度專欄 | 一被稱讚就心虛？拆解冒牌者症候群，做個夠Dope職場人,2026-09-03,Re:Fresh Plus 深度專欄,6.02,1,10,5.3,0.1,0,5,5.8,0.0
/tc/insights/post/unemployment_001,https://refresh.bokss.org.hk/tc/insights/post/unemployment_001,工作與財務管理 疫下失業的情緒急救包,2022-03-15,標準熱話科普,5.895,4,121,11.47,0.033058,1,32,12.19,0.03125
